MFile 1 7 960 
MTrk    
0 Tempo 100000  
TrkEnd    
MTrk    
0 PrCh ch=6 p=53 
0 Meta TrkName "ATAC" 
1251422 On ch=6 n=57 v=127
1251767 Off ch=6 n=57 v=0
1527836 On ch=6 n=57 v=127
1529349 Off ch=6 n=57 v=0
TrkEnd    
MTrk    
0 PrCh ch=5 p=53 
0 Meta TrkName "GENE" 
98407 On ch=5 n=50 v=127
131406 Off ch=5 n=50 v=0
134210 On ch=5 n=50 v=127
140438 Off ch=5 n=50 v=0
158073 On ch=5 n=50 v=127
165672 Off ch=5 n=50 v=0
188113 On ch=5 n=50 v=127
244567 Off ch=5 n=50 v=0
253339 On ch=5 n=50 v=127
266322 Off ch=5 n=50 v=0
268746 On ch=5 n=50 v=127
273686 Off ch=5 n=50 v=0
311452 On ch=5 n=50 v=127
313260 Off ch=5 n=50 v=0
323685 On ch=5 n=50 v=127
325284 Off ch=5 n=50 v=0
338276 On ch=5 n=50 v=127
341589 Off ch=5 n=50 v=0
342829 On ch=5 n=50 v=127
342907 Off ch=5 n=50 v=0
346803 On ch=5 n=50 v=127
351887 Off ch=5 n=50 v=0
357361 On ch=5 n=50 v=127
359929 Off ch=5 n=50 v=0
361239 On ch=5 n=50 v=127
365725 Off ch=5 n=50 v=0
367486 On ch=5 n=50 v=127
373156 On ch=5 n=50 v=127
374896 Off ch=5 n=50 v=0
377152 On ch=5 n=50 v=127
379546 Off ch=5 n=50 v=0
390103 On ch=5 n=50 v=127
390197 Off ch=5 n=50 v=0
391182 On ch=5 n=50 v=127
394215 Off ch=5 n=50 v=0
417534 Off ch=5 n=50 v=0
421602 On ch=5 n=50 v=127
424281 Off ch=5 n=50 v=0
438357 On ch=5 n=50 v=127
440161 Off ch=5 n=50 v=0
729917 On ch=5 n=50 v=127
741027 On ch=5 n=50 v=127
741033 Off ch=5 n=50 v=0
762596 Off ch=5 n=50 v=0
764001 On ch=5 n=50 v=127
765409 On ch=5 n=50 v=127
