MFile 1 7 960 
MTrk    
0 Tempo 100000  
TrkEnd    
MTrk    
0 PrCh ch=6 p=53 
0 Meta TrkName "ATAC" 
10845 On ch=6 n=57 v=127
11115 Off ch=6 n=57 v=0
51285 On ch=6 n=57 v=127
51408 Off ch=6 n=57 v=0
88926 On ch=6 n=57 v=127
89944 Off ch=6 n=57 v=0
90057 On ch=6 n=57 v=127
90494 Off ch=6 n=57 v=0
91798 On ch=6 n=57 v=127
92620 Off ch=6 n=57 v=0
92740 On ch=6 n=57 v=127
93778 Off ch=6 n=57 v=0
170883 On ch=6 n=57 v=127
171592 Off ch=6 n=57 v=0
227086 On ch=6 n=57 v=127
227767 Off ch=6 n=57 v=0
279553 On ch=6 n=57 v=127
280219 Off ch=6 n=57 v=0
280491 On ch=6 n=57 v=127
281031 Off ch=6 n=57 v=0
283164 On ch=6 n=57 v=127
283562 Off ch=6 n=57 v=0
284085 On ch=6 n=57 v=127
284520 Off ch=6 n=57 v=0
284683 On ch=6 n=57 v=127
285134 Off ch=6 n=57 v=0
285938 On ch=6 n=57 v=127
287098 Off ch=6 n=57 v=0
288842 On ch=6 n=57 v=127
289111 Off ch=6 n=57 v=0
289331 On ch=6 n=57 v=127
289769 Off ch=6 n=57 v=0
290137 On ch=6 n=57 v=127
290666 Off ch=6 n=57 v=0
295502 On ch=6 n=57 v=127
297478 Off ch=6 n=57 v=0
297931 On ch=6 n=57 v=127
299229 Off ch=6 n=57 v=0
309089 On ch=6 n=57 v=127
309264 Off ch=6 n=57 v=0
309475 On ch=6 n=57 v=127
309640 Off ch=6 n=57 v=0
345970 On ch=6 n=57 v=127
347012 Off ch=6 n=57 v=0
361334 On ch=6 n=57 v=127
362262 Off ch=6 n=57 v=0
362432 On ch=6 n=57 v=127
362898 Off ch=6 n=57 v=0
382511 On ch=6 n=57 v=127
384049 Off ch=6 n=57 v=0
405345 On ch=6 n=57 v=127
406355 Off ch=6 n=57 v=0
409409 On ch=6 n=57 v=127
409755 Off ch=6 n=57 v=0
409904 On ch=6 n=57 v=127
410267 Off ch=6 n=57 v=0
410954 On ch=6 n=57 v=127
411230 Off ch=6 n=57 v=0
412678 On ch=6 n=57 v=127
413232 Off ch=6 n=57 v=0
413839 On ch=6 n=57 v=127
414336 Off ch=6 n=57 v=0
414491 On ch=6 n=57 v=127
418172 Off ch=6 n=57 v=0
424147 On ch=6 n=57 v=127
424519 Off ch=6 n=57 v=0
425084 On ch=6 n=57 v=127
425897 Off ch=6 n=57 v=0
426076 On ch=6 n=57 v=127
426836 Off ch=6 n=57 v=0
429315 On ch=6 n=57 v=127
429906 Off ch=6 n=57 v=0
431176 On ch=6 n=57 v=127
431403 Off ch=6 n=57 v=0
431688 On ch=6 n=57 v=127
431879 Off ch=6 n=57 v=0
432609 On ch=6 n=57 v=127
432926 Off ch=6 n=57 v=0
433453 On ch=6 n=57 v=127
433832 Off ch=6 n=57 v=0
497528 On ch=6 n=57 v=127
498052 Off ch=6 n=57 v=0
498838 On ch=6 n=57 v=127
499064 Off ch=6 n=57 v=0
516709 On ch=6 n=57 v=127
516855 Off ch=6 n=57 v=0
517277 On ch=6 n=57 v=127
517420 Off ch=6 n=57 v=0
564990 On ch=6 n=57 v=127
565143 Off ch=6 n=57 v=0
566528 On ch=6 n=57 v=127
566964 Off ch=6 n=57 v=0
586288 On ch=6 n=57 v=127
588622 Off ch=6 n=57 v=0
590856 On ch=6 n=57 v=127
593213 Off ch=6 n=57 v=0
593362 On ch=6 n=57 v=127
594985 Off ch=6 n=57 v=0
596175 On ch=6 n=57 v=127
598525 Off ch=6 n=57 v=0
598713 On ch=6 n=57 v=127
600274 Off ch=6 n=57 v=0
627771 On ch=6 n=57 v=127
628648 Off ch=6 n=57 v=0
671675 On ch=6 n=57 v=127
672599 Off ch=6 n=57 v=0
689567 On ch=6 n=57 v=127
689789 Off ch=6 n=57 v=0
TrkEnd    
MTrk    
0 PrCh ch=5 p=53 
0 Meta TrkName "GENE" 
156445 On ch=5 n=50 v=127
165923 Off ch=5 n=50 v=0
255108 On ch=5 n=50 v=127
606079 Off ch=5 n=50 v=0
TrkEnd    
MTrk    
0 PrCh ch=1 p=43 
0 Meta TrkName "LINE" 
14009 On ch=1 n=16 v=100
14089 Off ch=1 n=16 v=0
14229 On ch=1 n=15 v=100
14403 Off ch=1 n=15 v=0
14681 On ch=1 n=8 v=100
14914 Off ch=1 n=8 v=0
23571 On ch=1 n=3 v=100
23636 Off ch=1 n=3 v=0
30966 On ch=1 n=3 v=100
36368 Off ch=1 n=3 v=0
36448 On ch=1 n=3 v=100
36547 Off ch=1 n=3 v=0
40060 On ch=1 n=1 v=100
41340 Off ch=1 n=1 v=0
41793 On ch=1 n=1 v=100
42794 Off ch=1 n=1 v=0
51359 On ch=1 n=47 v=100
51480 Off ch=1 n=47 v=0
52566 On ch=1 n=60 v=100
52629 On ch=1 n=38 v=100
52678 Off ch=1 n=60 v=0
52680 Off ch=1 n=38 v=0
53769 On ch=1 n=60 v=100
53832 On ch=1 n=38 v=100
53881 Off ch=1 n=60 v=0
53883 Off ch=1 n=38 v=0
54973 On ch=1 n=60 v=100
55036 On ch=1 n=35 v=100
55085 Off ch=1 n=60 v=0
55087 Off ch=1 n=35 v=0
56177 On ch=1 n=60 v=100
56240 On ch=1 n=38 v=100
56289 Off ch=1 n=60 v=0
56291 Off ch=1 n=38 v=0
57375 On ch=1 n=63 v=100
57494 Off ch=1 n=63 v=0
58572 On ch=1 n=47 v=100
58693 Off ch=1 n=47 v=0
59785 On ch=1 n=60 v=100
59848 On ch=1 n=38 v=100
59897 Off ch=1 n=60 v=0
59899 Off ch=1 n=38 v=0
60989 On ch=1 n=60 v=100
61052 On ch=1 n=35 v=100
61101 Off ch=1 n=60 v=0
61103 Off ch=1 n=35 v=0
62180 On ch=1 n=60 v=100
62304 Off ch=1 n=60 v=0
69494 On ch=1 n=41 v=100
69575 Off ch=1 n=41 v=0
73634 On ch=1 n=26 v=100
73717 Off ch=1 n=26 v=0
74229 On ch=1 n=7 v=100
74489 Off ch=1 n=7 v=0
75260 On ch=1 n=7 v=100
75520 Off ch=1 n=7 v=0
76282 On ch=1 n=7 v=100
76542 Off ch=1 n=7 v=0
76708 On ch=1 n=26 v=100
76792 Off ch=1 n=26 v=0
77304 On ch=1 n=3 v=100
